"subject_id","new_key","nhdid","filename","filename_2","county","lakename","LONG_DD","LAT_DD","lake_area_ha","max_depth_m","mean_depth_m","url_1","url_2"
72987458,"1-194",NA,"ALCONA_BADGER_MNGM_0001_1.jpeg","ALCONA_BADGER_MNGM_0001_2.jpeg","ALCONA","BADGER ",-83.43787,44.77721,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BADGER_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BADGER_MNGM_0001_2.jpeg"
72987459,"1-192",113471335,"ALCONA_BEAR_MNGM_0001_1.jpeg","ALCONA_BEAR_MNGM_0001_2.jpeg","ALCONA","BEAR ",-83.49121,44.78805,6.96,2.74,1.23,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BEAR_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BEAR_MNGM_0001_2.jpeg"
72987460,"1-179",83976131,"ALCONA_BROWNLEE_MNGM_0001_1.jpeg","ALCONA_BROWNLEE_MNGM_0001_2.jpeg","ALCONA","BROWNLEE ",-83.40954,44.68999,36.57,7.62,1.49,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BROWNLEE_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BROWNLEE_MNGM_0001_2.jpeg"
72987462,"1-61",NA,"ALCONA_BYRON_MNGM_0001_1.jpeg","ALCONA_BYRON_MNGM_0001_2.jpeg","ALCONA","BYRON ",-83.81537,44.64443,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BYRON_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_BYRON_MNGM_0001_2.jpeg"
72987465,"1-83",NA,"ALCONA_CLEAR_MNGM_0001_1.jpeg","ALCONA_CLEAR_MNGM_0001_2.jpeg","ALCONA","CLEAR ",-83.74735,44.62519,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CLEAR_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CLEAR_MNGM_0001_2.jpeg"
72987466,"1-138",113471599,"ALCONA_CROOKED_MNGM_0001_1.jpeg","ALCONA_CROOKED_MNGM_0001_2.jpeg","ALCONA","CROOKED ",-83.86954,44.73555,38.88,8.54,3.79,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CROOKED_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CROOKED_MNGM_0001_2.jpeg"
72987467,"1-184",83976127,"ALCONA_CRYSTAL_MNGM_0001_1.jpeg","ALCONA_CRYSTAL_MNGM_0001_2.jpeg","ALCONA","CRYSTAL ",-83.3901,44.68999,26.73,16.77,7.06,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CRYSTAL_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CRYSTAL_MNGM_0001_2.jpeg"
72987468,"1-10",NA,"ALCONA_CURTIS_MNGM_0001_1.jpeg","ALCONA_CURTIS_MNGM_0001_2.jpeg","ALCONA","CURTIS ",-83.71954,44.58332,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CURTIS_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_CURTIS_MNGM_0001_2.jpeg"
72987469,"1-193",113471353,"ALCONA_DEER_MNGM_0001_1.jpeg","ALCONA_DEER_MNGM_0001_2.jpeg","ALCONA","DEER ",-83.48232,44.78027,20.09,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_DEER_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_DEER_MNGM_0001_2.jpeg"
72987472,"1-57",NA,"ALCONA_HOIST_MNGM_0001_1.jpeg","ALCONA_HOIST_MNGM_0001_2.jpeg","ALCONA","HOIST ",-83.77593,44.6436,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HOIST_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HOIST_MNGM_0001_2.jpeg"
72987473,"1-1",NA,"ALCONA_HONAWAN_MNGM_0001_1.jpeg","ALCONA_HONAWAN_MNGM_0001_2.jpeg","ALCONA","HONAWAN ",-83.7826,44.59471,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HONAWAN_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HONAWAN_MNGM_0001_2.jpeg"
72987474,"1-67",NA,"ALCONA_HORSESHOE_MNGM_0001_1.jpeg","ALCONA_HORSESHOE_MNGM_0001_2.jpeg","ALCONA","HORSESHOE ",-83.76704,44.60027,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HORSESHOE_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HORSESHOE_MNGM_0001_2.jpeg"
72987475,NA,NA,"ALCONA_HUBBARD_MNGM_0001_1.jpeg","ALCONA_HUBBARD_MNGM_0001_2.jpeg","ALCONA","HUBBARD ",NA,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HUBBARD_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HUBBARD_MNGM_0001_2.jpeg"
72987476,"1-22",NA,"ALCONA_HUNTER_MNGM_0001_1.jpeg","ALCONA_HUNTER_MNGM_0001_2.jpeg","ALCONA","HUNTER ",-83.70871,44.5536,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HUNTER_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_HUNTER_MNGM_0001_2.jpeg"
72987478,"1-99",NA,"ALCONA_JEWEL_MNGM_0001_1.jpeg","ALCONA_JEWEL_MNGM_0001_2.jpeg","ALCONA","JEWEL ",-83.60676,44.68055,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_JEWEL_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_JEWEL_MNGM_0001_2.jpeg"
72987479,"1-191",113471281,"ALCONA_LOST_MNGM_0001_1.jpeg","ALCONA_LOST_MNGM_0001_2.jpeg","ALCONA","LOST ",-83.45954,44.79638,7.13,4.27,2.07,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_LOST_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_LOST_MNGM_0001_2.jpeg"
72987480,"1-18",NA,"ALCONA_MIDDLEINDIAN_MNGM_0001_1.jpeg","ALCONA_MIDDLEINDIAN_MNGM_0001_2.jpeg","ALCONA","MIDDLEINDIAN ",-83.68649,44.56888,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_MIDDLEINDIAN_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_MIDDLEINDIAN_MNGM_0001_2.jpeg"
72987481,"1-16",NA,"ALCONA_NORTH_MNGM_0001_1.jpeg","ALCONA_NORTH_MNGM_0001_2.jpeg","ALCONA"," NORTH",-83.69899,44.57055,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_NORTH_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_NORTH_MNGM_0001_2.jpeg"
72987482,"1-17",NA,"ALCONA_NORTHINDIAN_MNGM_0001_1.jpeg","ALCONA_NORTHINDIAN_MNGM_0001_2.jpeg","ALCONA","INDIAN NORTH",-83.68497,44.57131,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_NORTHINDIAN_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_NORTHINDIAN_MNGM_0001_2.jpeg"
72987483,"1-63",NA,"ALCONA_OBRIEN_MNGM_0001_1.jpeg","ALCONA_OBRIEN_MNGM_0001_2.jpeg","ALCONA","OBRIEN ",-83.88232,44.64138,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_OBRIEN_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_OBRIEN_MNGM_0001_2.jpeg"
72987484,"1-93",NA,"ALCONA_POPLAR_MNGM_0001_1.jpeg","ALCONA_POPLAR_MNGM_0001_2.jpeg","ALCONA","POPLAR ",-83.73586,44.60095,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_POPLAR_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_POPLAR_MNGM_0001_2.jpeg"
72987485,"1-78",NA,"ALCONA_REID_MNGM_0001_1.jpeg","ALCONA_REID_MNGM_0001_2.jpeg","ALCONA","REID ",-83.68482,44.64277,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_REID_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_REID_MNGM_0001_2.jpeg"
72987486,"1-19",NA,"ALCONA_SOUTHINDIAN_MNGM_0001_1.jpeg","ALCONA_SOUTHINDIAN_MNGM_0001_2.jpeg","ALCONA","INDIAN SOUTH",-83.68688,44.56675,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_SOUTHINDIAN_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_SOUTHINDIAN_MNGM_0001_2.jpeg"
72987487,"1-113",83976679,"ALCONA_SPRINKLER_MNGM_0001_1.jpeg","ALCONA_SPRINKLER_MNGM_0001_2.jpeg","ALCONA","SPRINKLER ",-83.60803,44.60399,15.06,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_SPRINKLER_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_SPRINKLER_MNGM_0001_2.jpeg"
72987488,"1-29",NA,"ALCONA_VAUGHN_MNGM_0001_1.jpeg","ALCONA_VAUGHN_MNGM_0001_2.jpeg","ALCONA","VAUGHN ",-83.7276,44.53916,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_VAUGHN_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALCONA_VAUGHN_MNGM_0001_2.jpeg"
72987490,"2-228",109946424,"ALGER_ACKERMAN_MNGM_0001_1.jpeg","ALGER_ACKERMAN_MNGM_0001_2.jpeg","ALGER","ACKERMAN ",-86.79704,46.33193,5.8,15.24,6.19,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_ACKERMAN_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_ACKERMAN_MNGM_0001_2.jpeg"
72987494,"2-361",109946172,"ALGER_AUTRAIN_MNGM_0004_1.jpeg","ALGER_AUTRAIN_MNGM_0004_2.jpeg","ALGER","AUTRAIN ",-86.83899,46.40388,341.3,8.84,2.73,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_AUTRAIN_MNGM_0004_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_AUTRAIN_MNGM_0004_2.jpeg"
72987495,"2-29",NA,"ALGER_BALDY_MNGM_0001_1.jpeg","ALGER_BALDY_MNGM_0001_2.jpeg","ALGER","BALDY ",-86.6526,46.21721,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BALDY_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BALDY_MNGM_0001_2.jpeg"
72987496,"2-8",NA,"ALGER_BAR_MNGM_0001_1.jpeg","ALGER_BAR_MNGM_0001_2.jpeg","ALGER","BAR ",-86.65121,46.23638,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BAR_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BAR_MNGM_0001_2.jpeg"
72987497,"2-119",113235971,"ALGER_BASS_MNGM_0002_1.jpeg","ALGER_BASS_MNGM_0002_2.jpeg","ALGER","BASS ",-86.76038,46.17165,16.1,4.88,2.09,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BASS_MNGM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BASS_MNGM_0002_2.jpeg"
72987498,"2-759",109943808,"ALGER_BAYEAST_MNGM_0001_1.jpeg","ALGER_BAYEAST_MNGM_0001_2.jpeg","ALGER","BAYEAST ",-85.94884,46.67621,28.77,14.02,7.46,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BAYEAST_MNGM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss4/mngm/mngm_rec/ALGER_BAYEAST_MNGM_0001_2.jpeg"
