'RATIO','INCLUDED?', 'SHEET', 'LINE', 'WORD'
71,1,eradication,548,Chemis
67,1,stocking,844,balanced
46,1,regulation,375,mapped.
100,0,,0,
59,1,habitat,337,Netting
53,1,habitat,338,Treatment
100,0,,0,
67,1,eradication,549,Remapped
86,0,,0,
100,0,,0,
59,1,eradication,551,populations
94,0,,0,
100,0,,0,
47,1,stocking,848,purchased
50,1,regulation,378,mapped
93,0,,0,
100,0,,0,
75,1,eradication,552,Gill
86,1,stocking,850,planted
67,1,eradication,553,in
50,1,regulation,380,mapped
50,1,habitat,339,survey
57,1,stocking,851,treated
80,1,stocking,852,plant
77,1,regulation,381,success
86,1,stocking,853,planted
67,1,habitat,340,creel.
86,0,,0,
67,1,eradication,555,in
80,1,stocking,854,planted.
100,0,,0,
67,1,eradication,557,in
100,0,,0,
67,1,eradication,558,Fish
86,1,stocking,857,planted
57,1,habitat,341,fishery
91,0,,0,
100,0,,0,
100,0,,0,
82,1,stocking,860,plantings
75,1,eradication,559,Gill
100,0,,0,
60,1,regulation,384,bass
67,1,regulation,385,Seined
50,1,regulation,386,mapped
100,0,,0,
100,0,,0,
60,1,eradication,560,more
100,0,,0,
70,1,stocking,863,re-established
60,1,regulation,388,bass
67,1,regulation,389,Being
100,0,,0,
100,0,,0,
93,0,,0,
67,1,habitat,343,Rehabilitation
75,1,regulation,390,item
60,1,habitat,344,see
67,1,eradication,563,in
100,0,,0,
88,1,stocking,868,planting
50,1,regulation,391,Mapped
100,0,,0,
82,1,stocking,870,planting.
67,1,eradication,565,in
46,1,habitat,345,summer
67,1,habitat,346,as
86,1,stocking,871,planted
80,1,stocking,872,"planted,"
86,1,stocking,873,planted
94,0,,0,
50,1,regulation,392,Netted
80,1,habitat,347,marsh
80,1,habitat,348,March
67,1,habitat,349,See
0,0,,0,
0,0,,0,
100,0,,0,
86,1,stocking,876,planted
100,0,,0,
86,1,stocking,878,planted
75,1,eradication,566,will
86,1,stocking,879,planted
71,1,stocking,880,Shocker
86,1,stocking,881,planted
67,1,eradication,567,in
67,1,eradication,568,series
100,0,,0,
71,1,stocking,883,produced
100,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,887,planted
94,0,,0,
86,1,stocking,888,planted
67,1,regulation,393,at
43,1,habitat,350,surveyed
50,1,regulation,394,mapped
60,1,habitat,351,see
12,0,,0,
100,0,,0,
86,1,stocking,890,planted
67,1,regulation,395,seine
67,1,eradication,570,in
86,1,stocking,891,planted
59,1,eradication,571,population.
100,0,,0,
80,1,stocking,893,"planted,"
100,0,,0,
92,0,,0,
50,1,stocking,894,not
100,0,,0,
53,1,regulation,398,completed
86,1,stocking,895,planted
67,1,habitat,353,See
91,0,,0,
70,1,regulation,399,reproduction
100,0,,0,
50,1,regulation,400,mapped
80,1,stocking,897,introduced.
55,1,eradication,572,poor.
92,0,,0,
86,0,,0,
46,1,regulation,402,mapped.
76,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,898,planted
67,0,,0,
46,1,eradication,575,Done.
0,0,,0,
86,1,stocking,899,planted
71,1,stocking,900,produced
46,1,eradication,576,Done.
86,1,stocking,901,planted
50,1,regulation,403,mapped
