'LAKE NAME', 'CONTENTS', 'DATE', 'FUZZY MATCH'
MASON_GUN_MNGM_0004_1.csv,"1. Regularly stocked with warm water  species, bass and bluegills until  1944. No stocking since that time.  2,3,5. Aquatic vegetation dense. No  further cover is necessary. ",9/54 ,1
IRON_PAINT_MNGM_0004_1.csv,2. Dam in outlet not replaced to  date. ,3/82 ,0
SCHOOLCRAFT_THUNDER_MNGM_0001_1.csv,5. Checked 8/76. Vegetation abundant  but not judged a problem ,1983.0,0
NEWAYGO_HESS_MNGM_0003_1.csv,"1. Presently used for experimental  vegetation control. Samples  collected in 1953 showed sub-  average growth for bluegills and  crappies (sample of crappies was  small), and growth of pumpkinseeds  on the borderline between average  and sub-aver age. ",1/1950 ,1
CHARLEVOIX_HOFFMAN_MNGM_0001_1.csv,4. 72 brush shelters installed in  1949 ,12/58 ,1
DICKINSON_KIMBERLEYCLARK_MNGM_0001_1.csv,3. Cont. Pretreatment beaver dam  removal washed out part of dam  (10-84). Dam repaired 11-84. ,1/83 ,0
OGEMAW_NERO_MNGM_0003_1.csv,2. No shelters instal led. Consider-  able cover in this lake. ,1953 ,1
GOGEBIC_BASS_MNGM_0004_1.csv,3. Dropped. N. pike taken in survey  and are now present in Ontonagon  R. above Bond Basin. ,7-62 ,0
BRANCH_MUD_MNGM_0001_1.csv,3. Brush shelters not installed. ,,0
DICKINSON_SILVER_MNGM_0002_1.csv,1. 100 brush shelters installed in  fall of 1955. ,6/66 ,1
ALCONA_HUBBARD_MNGM_0001_1.csv,"2. Brush shelters by LSSI in 1947.  Rainbows (A) and 2-year-old lake  trout stocked regularly from  1944-1947. Program temporarily  discontinued because of few re-  ports. Resumed in 1949. Reports  of success of program are few,  some results have been obtained. ",10/61 ,0
JACKSON_SWAINS_MNGM_0001_1.csv,3. 25 brush shelters installed  1948-49. ,1965 ,1
DICKINSON_HAMILTON_MNGM_0001_1.csv,4. Brush shelters installed Fall  of 1952. ,12/55 ,0
OSCODA_HELMER_MNGM_0003_1.csv,2. 18 shelters 1949 ,,1
ALGER_TROUT_MNGM_0001_1.csv,4. Twelve shelters with marker poles  installed in fall of 1954. ,1957 ,1
LIVINGSTON_WHITMORE_MNGM_0004_2.csv,10. Circuit Ct. consent decree issued  which prohibits filling on defined  area. ,1953 ,1
MARQUETTE_LITTLE_MNGM_0004_1.csv,"4. 80 brush shelters installed in  fall, 1950 ",,1
GLADWIN_HOISTER_MNGM_0006_2.csv,8. Reexamination of the lake in the  summerof 1952 whowed that temperature  and chemistry conditions were  still favorable for trout. Two  brook of good condition were  collected. Warm-water fish were  stunted. A dam is currently being  installed in the outlet.  8 cont. Dam completed in 1955.  367 fin-clipped legal brook trout  stocked 4/50 ,1956 ,0
MACKINAC_MILLECOQUIN_MNGM_0003_1.csv,1. Dam constructed and completed ,1965.0,0
ANTRIM_BELLAIRE_MNGM_0001_1.csv,8. 96 shelters installed in 1955  120 shelters installed in '56  25 shelters installed in '54 and  '55 by club members ,,1
IRON_ICE_MNGM_0001_1.csv,2. Brush shelters installed in fall  of 1956. ,6/67 1-78 ,0
NEWAYGO_LEAF_MNGM_0001_1.csv,4. Fry stocked in adjoining marsh.  NOTE: This was an attempt to establish  pike population in Leaf Lake by  stocking fry in the adjacent  control structure present. Marsh  connected to lake by small dredged ,northern ,0
LUCE_TANK_MNGM_0003_1.csv,8. 31 groups (10/grp) of Hoad  shelters placed in 10' contour ,1957.0,1
MARQUETTE_SQUAW_MNGM_0002_2.csv,"9. Squaw and Little Squaw Lakes  treated with toxaphene (7PPB) in  April 1958. Test plant of 1,000  brooks and 1,000 rainbows made  in fall of 1958.  (cont'd) Rock barrier built across  Little Squaw outlet by L.&S. I. in  Spring 1958. Twelve groups of  hoad shelters installed 6-3-59. ",6-59 ,0
IRON_MALLARD_MNGM_0003_3.csv,2. Dam is being maintained in fair  condition ,"3/55, ",0
BARAGA_BASS_MNGM_0003_1.csv,2. Brush shelters (50) installed  1954. ,10/54 ,0
GOGEBIC_LOON_MNGM_0001_1.csv,"6. (Cont'd) Netted 6/83. SMB nos  good, 19% of collection over 18"".  CWS, YEP, nos appear unchanged.  Light gill netting collected few  ciscos. Rock bass not collected  in previous 5 surveys found in  high (relationship to SMB) nos.  Regs are protecting SMB from  over harvest. ",10/83 ,0
GOGEBIC_GOGEBIC_MNGM_0001_2.csv,13. 81 shelters placed by WORK 1977. ,10/77 ,1
GOGEBIC_GOGEBIC_MNGM_0001_2.csv,13. 44 shelters placed by WORC in 1978 ,12/78 ,1
LUCE_BELLELAKEONE_MNGM_0004_1.csv,1. Brush shelters (184) installed in  the fall of 1954. ,12/54 ,0
KALKASKA_TWINBIG_MNGM_0003_1.csv,2. 65 shelters installed ,WRC1014/53 ,1
GRANDTRAVERSE_GREEN_MNGM_0001_1.csv,6. 120 shelters installed 1951. ,1954 ,1
MACKINAC_FIBORNTROUT_MNGM_0002_1.csv,"1. Dam constructed and completed  10/20/64 by contr. Clair Chipman,  Orleans, Mich. Partially flooded  fall 1964 ",1964 ,0
SCHOOLCRAFT_CUSINO_MNGM_0003_1.csv,4. 64 brush shelters installed in  in 1949; each marked  groups group with a red and white pole (LS) ,1949.0,1
IRON_HAGERMAN_MNGM_0001_1.csv,2. Brush shelters installed - 1949  Poor fishing reported from Hagerman  in 1949-50. ,1/11/62 ,0
IRON_HAGERMAN_MNGM_0001_1.csv,2. (cont.) 96 brush shelters installed  1953. ,12/62 ,1
ANTRIM_ELK_MNGM_0001_2.csv,"11. 305 brush shelters placed in  15 groups-summer, 1978, ",2/79 ,1
ALCONA_OBRIEN_MNGM_0001_1.csv,2. 20 Hoad Shelters 1957. ,1957 ,0
ALCONA_OBRIEN_MNGM_0001_1.csv,3. Gravel added ,8/60 ,0
ALCONA_OBRIEN_MNGM_0001_1.csv,"5. Brush filter dam installed==1939?  Reported in poor repair 1942.  New barrier dam in 1949.  Dam repaired, 1952. Suckers  again present, 1952. ",,0
GLADWIN_WIXOM_MNGM_0003_1.csv,2. Public fishing sit e developed  1961. Additional filling planned. ,8/63 ,1
OGEMAW_DEVOE_MNGM_0003_1.csv,2. 20 shelters 1948 ,,1
GLADWIN_PRATT_MNGM_0001_1.csv,"2. Marsh operated by local sports-  man's club. Good success 1962-63  2d. Marsh not operated, 1964.  No water. ",2/64 ,0
MACKINAC_EAST_MNGM_0003_1.csv,"5. Temporary( sand bag) dam installed  by ""Red"" Thompson at outlet held  water relatively high during 1949  season. Dam repaired 1952, but  washed out by fall.  In 1955 Thompson reconstructed  using sand and cement in bags which  returned a level above normal  1955-56( without may have had severe  winterkill in 1956 ",1950.0,0
BARAGA_BEAUFORT_MNGM_0001_1.csv,3. Brush shelters (160) installed  fall 1955. ,12/55 ,0
CLARE_BERTHA_MNGM_0001_1.csv,"4. Marsh constructed fall 1958, pike  fry visible spring 1959. ",7/59 ,0
CLARE_BERTHA_MNGM_0001_1.csv,7. Marsh operation discontinued for  present. No need to increase  flooded area until it is again  operated. ,1/62 ,0
OSCODA_ISLAND_MNGM_0003_1.csv,2. 22 shelters 1947. ,9/61 ,1
OTSEGO_BIGBEAR_MNGM_0002_1.csv,5. 100 brush shelters installed in  1952. ,12/58 ,1
BARAGA_SIXMILECREEK_MNGM_0001_1.csv,3. Dam completed under APW prog.  August 1965 ,8/65 ,0
BARAGA_SIXMILECREEK_MNGM_0001_1.csv,6. Revised. Dam closed but pond not  treated with rotenone. ,6/66 ,0
LIVINGSTON_ZUKEY_MNGM_0003_1.csv,3. 82 brush shelters installed  in 1948-49 ,1955 ,1
MACKINAC_MCALPINE_MNGM_0001_1.csv,"1. Dam constructed and completed  11/3/64 by Al Boyd Constr. Co.  Germfask (Eng). Pond area brushed  by inmate labor winter, 1964-65.  Flooded spring 1965 (LSI) ",1965 ,0
ANTRIM_ELK_MNGM_0001_1.csv,"2. 217 Shelters installed in 1948,  100 shelters installed in 1951, 100  shelters in 1952, 50 shelters installed  in 1953 ",8/56 ,0
