'RATIO','INCLUDED?', 'SHEET', 'LINE', 'WORD'
71,0,,0,
67,0,,0,
46,0,,0,
86,1,regulation,1,5/59.
59,0,,0,
53,0,,0,
100,0,,0,
67,0,,0,
86,1,eradication,1,lakes.
86,1,stocking,2,stocked
58,0,,0,
94,0,,0,
100,0,,0,
47,0,,0,
50,0,,0,
93,0,,0,
86,1,stocking,4,10/31/67
75,0,,0,
86,1,stocking,5,out.
67,0,,0,
50,0,,0,
50,0,,0,
57,0,,0,
80,0,,0,
77,0,,0,
86,1,stocking,6,availability.
67,0,,0,
86,1,eradication,2,from
67,0,,0,
80,0,,0,
100,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
86,1,stocking,9,help.
50,0,,0,
77,0,,0,
100,0,,0,
100,0,,0,
82,0,,0,
75,0,,0,
86,1,stocking,11,142;
44,0,,0,
67,0,,0,
50,0,,0,
90,1,habitat,1,necessary.
86,1,regulation,5,1958.
60,0,,0,
100,0,,0,
70,0,,0,
59,0,,0,
67,0,,0,
88,1,stocking,12,1955.
88,1,stocking,13,1956
80,0,,0,
67,0,,0,
75,0,,0,
53,0,,0,
67,0,,0,
100,0,,0,
88,1,stocking,15,policy.
50,0,,0,
100,0,,0,
82,0,,0,
67,0,,0,
44,0,,0,
64,0,,0,
86,1,stocking,16,USFWS
80,0,,0,
86,1,stocking,17,1964.
94,0,,0,
50,0,,0,
80,0,,0,
80,0,,0,
67,0,,0,
0,0,,0,
0,0,,0,
88,1,stocking,19,rate.
86,1,stocking,20,1957.
88,1,stocking,21,results.
86,1,stocking,22,1964.
75,0,,0,
86,1,stocking,23,"25,010"
71,0,,0,
86,1,stocking,24,1970.
67,0,,0,
67,0,,0,
100,0,,0,
71,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,29,conditions.
88,1,eradication,5,1956.
86,1,stocking,30,10/10/57.
67,0,,0,
43,0,,0,
50,0,,0,
50,0,,0,
12,0,,0,
86,1,stocking,31,"8,000-1957"
86,1,stocking,32,planted
60,0,,0,
67,0,,0,
86,1,stocking,33,"(296,000)."
53,0,,0,
100,0,,0,
80,0,,0,
100,0,,0,
77,0,,0,
50,0,,0,
100,0,,0,
53,0,,0,
86,1,stocking,35,on
67,0,,0,
77,0,,0,
62,0,,0,
100,0,,0,
50,0,,0,
80,0,,0,
47,0,,0,
77,0,,0,
73,0,,0,
46,0,,0,
76,0,,0,
67,0,,0,
88,1,eradication,6,10/64
86,1,stocking,36,8/65
67,0,,0,
46,0,,0,
0,0,,0,
86,1,stocking,37,5/31/66
71,0,,0,
46,0,,0,
86,1,stocking,38,revised
50,0,,0,
50,0,,0,
86,1,stocking,39,planted
83,0,,0,
50,0,,0,
53,0,,0,
71,0,,0,
50,0,,0,
59,0,,0,
0,0,,0,
62,0,,0,
53,0,,0,
86,1,stocking,40,plant)
75,0,,0,
86,1,stocking,41,(A)
67,0,,0,
50,0,,0,
0,0,,0,
50,0,,0,
60,0,,0,
67,0,,0,
60,0,,0,
60,0,,0,
59,0,,0,
100,0,,0,
59,0,,0,
73,0,,0,
50,0,,0,
86,1,stocking,43,1942
88,1,stocking,44,prog.
67,0,,0,
0,0,,0,
86,1,stocking,45,planted
50,0,,0,
88,1,eradication,7,1957.
64,0,,0,
73,0,,0,
67,0,,0,
73,0,,0,
90,1,habitat,4,age.
53,0,,0,
53,0,,0,
0,0,,0,
80,0,,0,
80,0,,0,
46,0,,0,
88,1,stocking,46,this
67,0,,0,
43,0,,0,
62,0,,0,
100,0,,0,
50,0,,0,
88,1,stocking,48,10/82.
80,0,,0,
80,0,,0,
88,1,habitat,5,1949
62,0,,0,
62,0,,0,
67,0,,0,
67,0,,0,
80,0,,0,
46,0,,0,
67,0,,0,
44,0,,0,
55,0,,0,
88,1,stocking,49,stocking
80,0,,0,
86,1,stocking,50,trout.
0,0,,0,
58,0,,0,
67,0,,0,
86,1,stocking,51,recorded.
62,0,,0,
88,1,eradication,8,rotenone
67,0,,0,
88,1,stocking,52,1958
0,0,,0,
60,0,,0,
78,0,,0,
0,0,,0,
0,0,,0,
71,0,,0,
86,1,stocking,53,recommended.
60,0,,0,
86,1,stocking,54,5/26/66
75,0,,0,
60,0,,0,
100,0,,0,
46,0,,0,
100,0,,0,
100,0,,0,
56,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
88,1,stocking,58,program.
53,0,,0,
67,0,,0,
88,1,stocking,59,plantings
60,0,,0,
60,0,,0,
86,1,stocking,60,shortage.
60,0,,0,
50,0,,0,
47,0,,0,
83,0,,0,
53,0,,0,
55,0,,0,
80,0,,0,
53,0,,0,
62,0,,0,
53,0,,0,
70,0,,0,
100,0,,0,
57,0,,0,
73,0,,0,
73,0,,0,
50,0,,0,
