'RATIO','INCLUDED?', 'SHEET', 'LINE', 'WORD'
71,0,,0,
67,0,,0,
46,0,,0,
86,1,regulation,308,seining
59,0,,0,
53,0,,0,
100,0,,0,
67,0,,0,
86,1,eradication,576,removed
86,1,stocking,3016,stocked
58,0,,0,
94,0,,0,
100,0,,0,
47,0,,0,
50,0,,0,
93,0,,0,
86,1,stocking,3018,stocked
75,0,,0,
86,1,stocking,3019,planted
67,0,,0,
50,0,,0,
50,0,,0,
57,0,,0,
80,0,,0,
77,0,,0,
86,1,stocking,3020,planted
67,0,,0,
86,1,eradication,577,removed
67,0,,0,
80,0,,0,
100,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
86,1,stocking,3023,planted
50,0,,0,
77,0,,0,
100,0,,0,
100,0,,0,
82,0,,0,
75,0,,0,
86,1,stocking,3025,stocked
44,0,,0,
67,0,,0,
50,0,,0,
90,1,habitat,251,vegetation
86,1,regulation,312,seining
60,0,,0,
100,0,,0,
70,0,,0,
59,0,,0,
67,0,,0,
88,1,stocking,3026,stocking
88,1,stocking,3027,stocking
80,0,,0,
67,0,,0,
75,0,,0,
53,0,,0,
67,0,,0,
100,0,,0,
88,1,stocking,3029,planting
50,0,,0,
100,0,,0,
82,0,,0,
67,0,,0,
44,0,,0,
64,0,,0,
86,1,stocking,3030,planted
80,0,,0,
86,1,stocking,3031,planted
94,0,,0,
50,0,,0,
80,0,,0,
80,0,,0,
67,0,,0,
0,0,,0,
0,0,,0,
88,1,stocking,3033,stocking
86,1,stocking,3034,planted
88,1,stocking,3035,stocking
86,1,stocking,3036,planted
75,0,,0,
86,1,stocking,3037,planted
71,0,,0,
86,1,stocking,3038,planted
67,0,,0,
67,0,,0,
100,0,,0,
71,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,3043,planted
88,1,eradication,580,poisoned
86,1,stocking,3044,planted
67,0,,0,
43,0,,0,
50,0,,0,
50,0,,0,
12,0,,0,
86,1,stocking,3045,stocked
86,1,stocking,3046,planted
60,0,,0,
67,0,,0,
86,1,stocking,3047,planted
53,0,,0,
100,0,,0,
80,0,,0,
100,0,,0,
77,0,,0,
50,0,,0,
100,0,,0,
53,0,,0,
86,1,stocking,3049,planted
67,0,,0,
77,0,,0,
62,0,,0,
100,0,,0,
50,0,,0,
80,0,,0,
47,0,,0,
77,0,,0,
73,0,,0,
46,0,,0,
76,0,,0,
67,0,,0,
88,1,eradication,581,rotenone
86,1,stocking,3050,planted
67,0,,0,
46,0,,0,
0,0,,0,
86,1,stocking,3051,planted
71,0,,0,
46,0,,0,
86,1,stocking,3052,planted
50,0,,0,
50,0,,0,
86,1,stocking,3053,planted
83,0,,0,
50,0,,0,
53,0,,0,
71,0,,0,
50,0,,0,
59,0,,0,
0,0,,0,
62,0,,0,
53,0,,0,
86,1,stocking,3054,stocked
75,0,,0,
86,1,stocking,3055,planted
67,0,,0,
50,0,,0,
0,0,,0,
50,0,,0,
60,0,,0,
67,0,,0,
60,0,,0,
60,0,,0,
59,0,,0,
100,0,,0,
59,0,,0,
73,0,,0,
50,0,,0,
86,1,stocking,3057,stocked
88,1,stocking,3058,planting
67,0,,0,
0,0,,0,
86,1,stocking,3059,planted
50,0,,0,
88,1,eradication,582,rotenone
64,0,,0,
73,0,,0,
67,0,,0,
73,0,,0,
90,1,habitat,254,vegetation
53,0,,0,
53,0,,0,
0,0,,0,
80,0,,0,
80,0,,0,
46,0,,0,
88,1,stocking,3060,stocking
67,0,,0,
43,0,,0,
62,0,,0,
100,0,,0,
50,0,,0,
88,1,stocking,3062,released
80,0,,0,
80,0,,0,
88,1,habitat,255,shelters
62,0,,0,
62,0,,0,
67,0,,0,
67,0,,0,
80,0,,0,
46,0,,0,
67,0,,0,
44,0,,0,
55,0,,0,
88,1,stocking,3063,stocking
80,0,,0,
86,1,stocking,3064,stocked
0,0,,0,
58,0,,0,
67,0,,0,
86,1,stocking,3065,stocked
62,0,,0,
88,1,eradication,583,rotenone
67,0,,0,
88,1,stocking,3066,stocking
0,0,,0,
60,0,,0,
78,0,,0,
0,0,,0,
0,0,,0,
71,0,,0,
86,1,stocking,3067,planted
60,0,,0,
86,1,stocking,3068,planted
75,0,,0,
60,0,,0,
100,0,,0,
46,0,,0,
100,0,,0,
100,0,,0,
56,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
88,1,stocking,3072,stocking
53,0,,0,
67,0,,0,
88,1,stocking,3073,stocking
60,0,,0,
60,0,,0,
86,1,stocking,3074,stocked
60,0,,0,
50,0,,0,
47,0,,0,
83,0,,0,
53,0,,0,
55,0,,0,
80,0,,0,
53,0,,0,
62,0,,0,
53,0,,0,
70,0,,0,
100,0,,0,
57,0,,0,
73,0,,0,
73,0,,0,
