'LAKE NAME', 'CONTENTS', 'DATE', 'FUZZY MATCH'
MECOSTA_PRETTY_MNGM_0001_1.csv,1. LSI seining completed 5/59. ,1/61 ,1
BRANCH_UNION_MNGM_0001_1.csv,"1. m. bass 1928, 29, 38, 39, 41-45.50;  S. m. bass 1923-28, 36; perch 1922,  31, 40; walleyes 1923, 33. Lake  classified and fish species noted  9/39. (Note #4). Seining survey and  water chemistry determined 8/48  (Note #4) ",7/62 ,0
BRANCH_UNION_MNGM_0001_1.csv,"4. Biol. surv. done 9/60 and 7/62.  Panfish, bass, n. pike, perch, bullhead,  sucker, carp, dogfish and forage  present. Fishery in excellent  generally above state avg. in growth.  Seining, trap and fyke netting and  chemistries conducted. ",,0
STJOSEPH_COREY_MNGM_0001_1.csv,2. Opened to fall rainbow fishing. ,1954 ,0
MASON_GUN_MNGM_0004_1.csv,"6. LSI reconnaissance seining com-  pleted May, 1958. ",8/59 ,1
MACKINAC_BATTYDOE_MNGM_0002_1.csv,1. Opened as recommended 1950 ,1950.0,0
OGEMAW_NERO_MNGM_0003_1.csv,8. Access now appears adequate - be-  ing developed by U.S. Forest Service. ,,0
KALAMAZOO_GULL_MNGM_0004_2.csv,8. Seining and creel checks indicate  good population present. ,9/9/69 ,0
BARRY_PINE_MNGM_0004_1.csv,"4. See survey seining summaries,  1957, 1958, 1959 ",1959 ,1
LAKE_HOWES_MNGM_0003_1.csv," winterkilled in the past. Some  seining was done during September,  1951. ",,1
LUCE_MCTIVERS_MNGM_0003_1.csv,1. Public Access questioned - not  (IFR). Bryan Hichescell Hunting Club  (north): B & L Keller (south). ,1953.0,0
GOGEBIC_REDBOAT_MNGM_0001_1.csv, of 1. m. bass and panfish. A large  vol. of potential trout water is  present. Access to lake is difficult ,8/60 ,0
GRANDTRAVERSE_SILVER_MNGM_0003_1.csv,3. Opened for winter rainbow fishing  1961 ,3/67 ,0
CALHOUN_GOGUAC_MNGM_0001_1.csv,4. Entire P. A. S. revamped. Access  and parking facilities improved ,9/77 ,0
JACKSON_SWAINS_MNGM_0001_1.csv,"5. Opened to fall fishing, 1945 ",1950 ,0
NEWAYGO_BLANCH_MNGM_0003_1.csv," of 1950-51. Some seining done  during September, 1951. ",,1
BARRY_DEEPLITTLE_MNGM_0001_1.csv,2. Opened to fall fishing in 1956 ,= ,0
LUCE_LOST_MNGM_0003_1.csv,6. Access through CCI-open to public  by their policy (Lands) ,10/48 ,0
KALAMAZOO_SOUTH_MNGM_0003_1.csv," of 1950-51. Some seining done in  August, 1951. ",,1
MONTMORENCY_ESS_MNGM_0001_1.csv,2. Survey seining and trap netting  completed. ,10/61 ,1
BARRY_CROOKEDUPPER_MNGM_0001_1.csv,1. See survey seining summary of  1957 and 1958 ,2/67 ,1
ALLEGAN_PIKE_MNGM_0003_1.csv,3. Opened to fall rainbow fishing. ,4/64 ,0
CHIPPEWA_CARP(BIGTROUT)_MNGM_0003_1.csv,1. Shoal seining 1948 (notes and  refs) BG. ,1948 ,1
MACKINAC_STROUBLE_MNGM_0003_1.csv,1. Opened to commercial seining of  minnows 1952 ,1952.0,0
ANTRIM_BELLAIRE_MNGM_0001_1.csv,1. Opened to fall rainbow fishing in ,1/29/4 ,0
DELTA_BANANA_MNGM_0003_1.csv,"3. Netting in fall 1953 produced 3  trout, substantial population of  (stunted?) perch and rock bass;  fishing pressure light with poor  returns. Potential not great enough  at present to warrant eradication  warm water species. Access also  poor.  C. O. Derwin reports some trout  caught summer 1955( species not  by him) ",1953.0,0
DELTA_BANANA_MNGM_0003_1.csv,13. Opened 1968 ,1955.0,0
BARAGA_ROLLAND_MNGM_0003_1.csv,14. Site obtained and developed ,- ,0
LUCE_TANK_MNGM_0003_1.csv,7. Opened to fall rainbow fishing 1952 ,1952.0,0
LUCE_TANK_MNGM_0003_1.csv,14. Opened as recommended. ,1969.0,0
HOUGHTON_THIRTEENMILE_MNGM_0002_1.csv,3. Dropped. Access difficult. ,2/65 ,0
STJOSEPH_PLEASANT_MNGM_0002_1.csv,2. Opened to fall rainbow fishing. ,1954 ,0
OTSEGO_PICKEREL_MNGM_0001_1.csv,6. Opened to fall rainbow fishing. ,1/51 ,0
OTSEGO_PICKEREL_MNGM_0001_1.csv,11. Survey seining and trap net-  ting completed. ,,1
MARQUETTE_WOLF_MNGM_0001_2.csv,9. Placed on designated trout lake  list in 1965. Minnow restriction  cancelled. ,10/68 ,1
GENESSE_BRYAM_MNGM_0003_1.csv,1. Survey seining indicated stunted  panfish pop. No pike taken. ,5/7/62 ,1
SCHOOLCRAFT_ISLAND_MNGM_0003_1.csv,8. Opened to fall fishing for rainbow  1958. ,1961.0,0
