'LAKE NAME', 'CONTENTS', 'DATE', 'FUZZY MATCH'
MECOSTA_PRETTY_MNGM_0001_1.csv,"4. Stocked 2,431 fingerling walleyes  "" 14,999 11 "" 7/74  11 880 "" 11 7/77  "" 2,500 "" "" 7/76 ",2/78 ,0
WASHTENAW_SUGARLOAF_MNGM_0001_2.csv,"8. 800 n. pike, avg. 2.3"", stocked  5/17/63; 1, 500 n. pike, avg. 4.0"",  rt.pelvic fin clipped, stocked ",1963 ,1
BRANCH_UNION_MNGM_0001_1.csv,"1. Stocking: bgill. 1923, 28-31, 35-45. ",6/63 ,0
BRANCH_UNION_MNGM_0001_1.csv,"6. 7500 channel catfish total weight  600 lb., inspected by District 13  Fish personnel and stocked on  10/31/67 ",,1
ALGER_TEMPLE_MNGM_0001_1.csv,1. No fish planted 1942-1969  2-5. None of these recommendations  have been carried out. ,9/69 ,1
MARQUETTE_FORTYONE_MNGM_0001_1.csv,"6. Brook trout planted 1969, 1970  and 1971. Numbers and size  inconsistent due to availability. ",12/71 ,1
STCLAIR_RAILROAD_MNGM_0002_1.csv,nan Stocking unsuccessful probably due to  the established population of 1121-  desirable species of fish.  Fish population poisoned out by use  of emulsifiable rotenone. ,7-6-55 ,0
MARQUETTE_HASSCIB_MNGM_0002_1.csv,1. Lake treated in fall of 1957. Stocked  in spring and fall in 1958. Designated  a trout lake in '59 & use of minnows  for bait prohibited. ,4/78 ,0
MARQUETTE_HASSCIB_MNGM_0002_1.csv,"6. 1,000 yearling brook trout planted  '78 with local help. ",12/81 ,1
STJOSEPH_COREY_MNGM_0001_1.csv,"1. (Cont'd) 7,800 - 1949;2200 -1950;  5000 - 1951;10,000 -1952; 5000 -  1953. Good returns.  Lake biologically inventoried in  summer of 1953. Rainbow trout taken  in nets.  3, 4. Lake stocked annually with  5,000 legal rainbow. Planted  in 2 groups (1957-1962)--4,000  in spring, 1, 000 in fall. 1956  plant was only 1, 000 fall-planted  trout. ",5/62 ,0
BRANCH_CLAYTON_MNGM_0002_1.csv,"1. Fishery surveys conducted 1927 and  1939. B-gills stocked 1937-40, 142; ",1965.0,1
GENESSE_THREAD_MNGM_0003_1.csv,2. Fish pop. eradicated.  See stocking record 1955. ,1955 ,1
GENESSE_THREAD_MNGM_0003_1.csv,4. See stocking record 1955 & 1956 ,10-5-55 ,1
GLADWIN_HOISTER_MNGM_0006_3.csv,"19. Planted 1, 000 legal brook trout  10/62. ",10/62 ,0
GLADWIN_HOISTER_MNGM_0006_3.csv,20. Discontinued due to change in  planting policy. ,1/68 ,1
GLADWIN_SECORD_MNGM_0001_1.csv,"3. 30,000 channel catfish, 1"" aver.,  planted 7/18/63, provided by USFWS ",8/64 ,1
GLADWIN_SECORD_MNGM_0001_1.csv,"5. (addition) 24,000 2. 7"" fish planted  Oct., 1964. ",12/66 ,1
GLADWIN_SECORD_MNGM_0001_1.csv,5. (add) Plantings completed 1966 ,1/68 ,0
GOGEBIC_ORMES_MNGM_0001_1.csv,"3. Netting indicates trout are surviving.  local fishermen report some trout  caught during summer of 1952  pressure very light, hence reduced  stocking rate. ",1957 ,1
GOGEBIC_ORMES_MNGM_0001_1.csv,4. 1000 sublegal rainbow trout planted  in 1952.  4 (cont) 1000 legal rainbow trout  annually 1953 thru 1957. ,4/58 ,1
GOGEBIC_ORMES_MNGM_0001_1.csv,5. Local fishermen and Cons. Dept.  personnel report very few trout  taken.  5 (cont) No trout planted 1958 thru  1961. Reports indicate former  stocking produced fair to good  results. ,12/61 ,1
GOGEBIC_ORMES_MNGM_0001_1.csv,6. 1500 legal brown trout planted in  1962 and 1963; 2000 legal brown  trout planted in 1964. ,- ,1
MISSAUKEE_CROOKED_MNGM_0001_1.csv,"1948: Bluegills 3.8"" planted 25,010 ",3/79 ,1
MISSAUKEE_CROOKED_MNGM_0001_1.csv,"2. 10,000 LM bass fingerlings planted  1970. ",,1
ALGER_GRANTS_MNGM_0001_1.csv,2. Planted as per 2 across in fall of  1951 ,12/51 ,0
ALGER_GRANTS_MNGM_0001_1.csv,4. Planted as per 4 across in 52 & 53.  Fishermen report good brook trout & no  rainbows. Netting in fall 53 produced  no fish. ,10/53 ,0
ALGER_GRANTS_MNGM_0001_1.csv,"5. Planted as per 5 across in 1954, 55  and 56. T. Waters reported high temp.  to lake bottom in August 53. Fishermen  report brook trout catches in early  No netting done during period. ",1957 ,0
ALGER_GRANTS_MNGM_0001_1.csv,6. Planted as per 6 across in 1957 thru  1960. Fishermen continue to report brook  in early season. Netting in Sept. 1961  no fish ,trout ,0
ALGER_GRANTS_MNGM_0001_1.csv,"7. 1,500 S.L. brook trout planted 1961.  Netting and temp. series June, July and  1962 showed good survival and temp.  conditions. ",11/991 ,1
GRANDTRAVERSE_SANDLAKE3_MNGM_0002_1.csv,"2. 2,370 S.L. bluegills planted  10/10/57. ",10/58 ,1
MONTCALM_WHITEFISH_MNGM_0001_1.csv,"5. Fish stocked as indicated, 8,000-  1956; 8,000-1957 ",7/64 ,1
MONTCALM_WHITEFISH_MNGM_0001_1.csv,"6. 1,000 S. m. bass fing. planted ",1978 ,1
MONTCALM_WHITEFISH_MNGM_0001_1.csv,"9. Walleye fry planted (296,000). ",,1
