'LAKE NAME', 'CONTENTS', 'DATE', 'FUZZY MATCH'
GOGEBIC_BIGMOSQUITO_MNGM_0002_1.csv," tains balanced population of  largemouth bass, yellow perch  and bluegills. Lake appears  to have high oxygen demand ",3/40 ,1
MECOSTA_PRETTY_MNGM_0001_1.csv,"4. Stocked 2,431 fingerling walleyes  "" 14,999 11 "" 7/74  11 880 "" 11 7/77  "" 2,500 "" "" 7/76 ",2/78 ,0
WASHTENAW_SUGARLOAF_MNGM_0001_2.csv,"8. 800 n. pike, avg. 2.3"", stocked  5/17/63; 1, 500 n. pike, avg. 4.0"",  rt.pelvic fin clipped, stocked ",1963 ,0
BRANCH_UNION_MNGM_0001_1.csv,"1. Stocking: bgill. 1923, 28-31, 35-45. ",6/63 ,0
BRANCH_UNION_MNGM_0001_1.csv,2. PAS purchased 11/21/56 ,8/68 ,1
BRANCH_UNION_MNGM_0001_1.csv,"6. 7500 channel catfish total weight  600 lb., inspected by District 13  Fish personnel and stocked on  10/31/67 ",,0
ALGER_TEMPLE_MNGM_0001_1.csv,1. No fish planted 1942-1969  2-5. None of these recommendations  have been carried out. ,9/69 ,1
MARQUETTE_FORTYONE_MNGM_0001_1.csv,3. Lake treated 8/31/64 ,8/65 ,1
MARQUETTE_FORTYONE_MNGM_0001_1.csv,4. First post treatment plant  made 4/13/65 ,8/65 ,1
MARQUETTE_FORTYONE_MNGM_0001_1.csv,"6. Brook trout planted 1969, 1970  and 1971. Numbers and size  inconsistent due to availability. ",12/71 ,1
STCLAIR_RAILROAD_MNGM_0002_1.csv,500 L.M. Bass frlgs. planted. Fish ,9-26-52 ,1
STCLAIR_RAILROAD_MNGM_0002_1.csv,nan Stocking unsuccessful probably due to  the established population of 1121-  desirable species of fish.  Fish population poisoned out by use  of emulsifiable rotenone. ,7-6-55 ,0
MARQUETTE_HASSCIB_MNGM_0002_1.csv,1. Lake treated in fall of 1957. Stocked  in spring and fall in 1958. Designated  a trout lake in '59 & use of minnows  for bait prohibited. ,4/78 ,0
MARQUETTE_HASSCIB_MNGM_0002_1.csv,"6. 1,000 yearling brook trout planted  '78 with local help. ",12/81 ,1
STJOSEPH_COREY_MNGM_0001_1.csv,"1. 5,000 legal-sized rainbows stock-  ed 1949. ",1950 ,0
