'LAKE NAME', 'CONTENTS', 'DATE', 'FUZZY MATCH'
MECOSTA_PRETTY_MNGM_0001_1.csv,2. Netting completed summer 1965 ,1/68 ,1
MECOSTA_PRETTY_MNGM_0001_1.csv,3. Treatment completed 5-23-74 ,2/78 ,1
MARQUETTE_FORTYONE_MNGM_0001_1.csv,2. Inventory survey accomplished ,6/64 ,1
MARQUETTE_FORTYONE_MNGM_0001_1.csv,"7. Netting and fishermen interviews  good survival, growth and returns  to creel. ",12/71 ,1
MARQUETTE_HASSCIB_MNGM_0002_1.csv,"7. Done, 1980. BKT av. size = 19.4""  very popular trophy fishery developed ",,1
MASON_GUN_MNGM_0004_1.csv,"8. Remove dam, release water and  pike because of possible contribu-  tory effect on high water table  which flood basements of nearby  residents. ",5/60 ,0
GENESSE_THREAD_MNGM_0003_1.csv,6. Rehabilitation dropped for present  basis of survey netting See Cons. 8065  7/18 & 19/61. by MacGregor WEM ,1955 ,1
GENESSE_THREAD_MNGM_0003_1.csv,8. Trap net survey completed by LSI;  see report. SD 11/61 ,,1
GLADWIN_SECORD_MNGM_0001_1.csv,2. Netting request withdrawn until  such time as impoundment can  drawn down or carp management  perfected. ,8/63 ,1
GLADWIN_SECORD_MNGM_0001_1.csv,6. Pike marsh completed 1972. ,,1
HOUGHTON_TOIVOLA_MNGM_0001_1.csv,1. Five lakes mapped March 1965 ,3/65 ,1
HOUGHTON_TOIVOLA_MNGM_0001_1.csv,"2. Only three of the lakes were worthy  of inventory. See mgmt. cards for  Toivola lakes numbered 1, 2 and ",1/68 ,1
MONTCALM_WHITEFISH_MNGM_0001_1.csv,"3. Lake inventoried, see inv. summ. ",7/55 ,1
IRON_PAINT_MNGM_0004_1.csv,2. Dam in outlet not replaced to  date. ,3/82 ,0
SCHOOLCRAFT_THUNDER_MNGM_0001_1.csv,3. See notes and ref. - Possible  lymphocystes (?) ,1952.0,1
SCHOOLCRAFT_THUNDER_MNGM_0001_1.csv,5. Checked 8/76. Vegetation abundant  but not judged a problem ,1983.0,0
GOGEBIC_FOXPAW_MNGM_0002_1.csv,1. Survey shows this springhole lake  to contain large n. pike and many  fair-to-good size perch. Level has  been recently lowered by partial  obstruction of beaver dam. ,8/62 ,0
GOGEBIC_FOXPAW_MNGM_0002_1.csv,3. Low-head concrete dam(21) constructed  by USFS in Oct. 1964. ,11/64 ,0
GOGEBIC_FOXPAW_MNGM_0002_1.csv,4. Winter oxygen analysis shows over  2 ppm prior to dam construction. ,11/64 ,0
MONTCALM_MUD_MNGM_0003_1.csv,"2. Lake inventoried, see inv. data ",7/41 ,1
OAKLAND_DEER_MNGM_0001_1.csv,5. Survival was excellent. ,12/73 ,1
