'RATIO','INCLUDED?', 'SHEET', 'LINE', 'WORD'
71,0,,0,
67,0,,0,
46,0,,0,
100,0,,0,
59,0,,0,
53,0,,0,
100,0,,0,
67,0,,0,
86,0,,0,
100,0,,0,
59,0,,0,
94,0,,0,
100,0,,0,
47,0,,0,
50,0,,0,
93,0,,0,
100,0,,0,
75,1,eradication,2,Gill
86,1,stocking,5,planted
67,0,,0,
50,0,,0,
50,0,,0,
57,0,,0,
80,1,stocking,6,plant
77,1,regulation,4,success
86,1,stocking,7,planted
67,0,,0,
86,0,,0,
67,0,,0,
80,1,stocking,8,planted.
100,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
86,1,stocking,11,planted
57,0,,0,
91,0,,0,
100,0,,0,
100,0,,0,
82,1,stocking,14,plantings
75,1,eradication,5,Gill
100,0,,0,
60,0,,0,
67,0,,0,
50,0,,0,
100,0,,0,
100,0,,0,
60,0,,0,
100,0,,0,
70,0,,0,
60,0,,0,
67,0,,0,
100,0,,0,
100,0,,0,
93,0,,0,
67,0,,0,
75,1,regulation,8,item
60,0,,0,
67,0,,0,
100,0,,0,
88,1,stocking,21,planting
50,0,,0,
100,0,,0,
82,1,stocking,23,planting.
67,0,,0,
46,0,,0,
67,0,,0,
86,1,stocking,24,planted
80,1,stocking,25,"planted,"
86,1,stocking,26,planted
94,0,,0,
50,0,,0,
80,1,habitat,2,marsh
80,1,habitat,3,March
67,0,,0,
0,0,,0,
0,0,,0,
100,0,,0,
86,1,stocking,29,planted
100,0,,0,
86,1,stocking,31,planted
75,1,eradication,9,will
86,1,stocking,32,planted
71,0,,0,
86,1,stocking,33,planted
67,0,,0,
67,0,,0,
100,0,,0,
71,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,38,planted
94,0,,0,
86,1,stocking,39,planted
67,0,,0,
43,0,,0,
50,0,,0,
60,0,,0,
12,0,,0,
100,0,,0,
86,1,stocking,41,planted
67,0,,0,
67,0,,0,
86,1,stocking,42,planted
59,0,,0,
100,0,,0,
80,1,stocking,44,"planted,"
100,0,,0,
92,0,,0,
50,0,,0,
100,0,,0,
53,0,,0,
86,1,stocking,45,planted
67,0,,0,
91,0,,0,
70,0,,0,
100,0,,0,
50,0,,0,
80,1,stocking,47,introduced.
55,0,,0,
92,0,,0,
86,0,,0,
46,0,,0,
76,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,48,planted
67,0,,0,
46,0,,0,
0,0,,0,
86,1,stocking,49,planted
71,0,,0,
46,0,,0,
86,1,stocking,50,planted
50,0,,0,
60,0,,0,
86,1,stocking,51,planted
100,0,,0,
50,0,,0,
53,0,,0,
71,0,,0,
50,0,,0,
59,0,,0,
75,0,,0,
62,0,,0,
53,0,,0,
100,0,,0,
75,1,eradication,14,Gill
86,1,stocking,53,planted
67,0,,0,
50,0,,0,
0,0,,0,
57,0,,0,
60,0,,0,
67,0,,0,
60,0,,0,
60,0,,0,
59,0,,0,
100,0,,0,
59,0,,0,
73,0,,0,
50,0,,0,
100,0,,0,
88,1,stocking,56,planting
67,0,,0,
0,0,,0,
86,1,stocking,57,planted
50,0,,0,
100,0,,0,
64,0,,0,
73,0,,0,
67,0,,0,
73,0,,0,
90,1,habitat,9,vegetation
53,0,,0,
53,0,,0,
0,0,,0,
80,0,,0,
80,1,stocking,59,Plans
46,0,,0,
100,0,,0,
67,0,,0,
47,0,,0,
100,0,,0,
100,0,,0,
50,0,,0,
88,1,stocking,62,released
93,0,,0,
80,1,stocking,64,"planted,"
93,0,,0,
62,0,,0,
62,0,,0,
67,0,,0,
67,0,,0,
80,1,stocking,65,planted.
46,0,,0,
67,0,,0,
44,0,,0,
62,0,,0,
100,0,,0,
93,0,,0,
100,0,,0,
0,0,,0,
58,0,,0,
67,0,,0,
100,0,,0,
62,0,,0,
100,0,,0,
67,0,,0,
100,0,,0,
0,0,,0,
60,0,,0,
89,0,,0,
0,0,,0,
0,0,,0,
71,0,,0,
86,1,stocking,71,planted
60,0,,0,
86,1,stocking,72,planted
75,1,eradication,20,Gill
60,0,,0,
100,0,,0,
46,0,,0,
100,0,,0,
100,0,,0,
56,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
100,0,,0,
53,0,,0,
67,0,,0,
100,0,,0,
67,0,,0,
60,0,,0,
100,0,,0,
60,0,,0,
50,0,,0,
47,0,,0,
100,0,,0,
53,0,,0,
55,0,,0,
93,0,,0,
53,0,,0,
62,0,,0,
59,0,,0,
100,0,,0,
100,0,,0,
57,0,,0,
73,0,,0,
73,0,,0,
50,0,,0,
100,0,,0,
100,0,,0,
75,1,eradication,23,Gill
57,0,,0,
100,0,,0,
57,0,,0,
57,0,,0,
57,0,,0,
60,0,,0,
77,1,habitat,14,piling
